Instancia,BRKGA,BEST,GAP
H&Slin100-1-7.txt, 13020, 13020, 0.0 
H&Slin100-1-8.txt, 12190, 12180, 0.08 
H&Slin100-1-9.txt, 11100, 11090, 0.09 
H&Slin100-1-10.txt, 12830, 12800, 0.23 
H&Slin200-1-1.txt, 25470, 25430, 0.16 
H&Slin200-1-2.txt, 26350, 26300, 0.19 
H&Slin200-1-3.txt, 27860, 27770, 0.32 
H&Slin200-1-4.txt, 24340, 24300, 0.16 
H&Slin200-1-5.txt, 25820, 25820, 0.0 
H&Slin200-1-6.txt, 23910, 23820, 0.38 
H&Slin200-1-7.txt, 28680, 28590, 0.31 
H&Slin200-1-8.txt, 25910, 25900, 0.04 
H&Slin200-1-9.txt, 24940, 24890, 0.2 
H&Slin200-1-10.txt, 25860, 25760, 0.39 
H&Slin500-1-1.txt, 61910, 61770, 0.23 
H&Slin500-1-2.txt, 62200, 62090, 0.18 
H&Slin500-1-3.txt, 66830, 66770, 0.09 
